disease_name,url,symptoms
Cholestasis of pregnancy,https://www.mayoclinic.org/diseases-conditions/cholestasis-of-pregnancy/symptoms-causes/syc-20363257,"Intense itching is the main symptom of cholestasis of pregnancy. But there is no rash. Typically, you feel itchy on the palms of your hands or the soles of your feet, but you may feel itchy everywhere. The itching is often worse at night and may bother you so much that you can't sleep.; The itching is most common during the third trimester of pregnancy but sometimes begins earlier. It may feel worse as your due date gets near. But once your baby arrives, the itchiness usually goes away within a few days.; Other less common signs and symptoms of cholestasis of pregnancy may include:; Yellowing of the skin and whites of the eyes, called jaundice; Nausea; Loss of appetite; Oily, foul-smelling stools"
Chondrosarcoma,https://www.mayoclinic.org/diseases-conditions/chondrosarcoma/symptoms-causes/syc-20354196,"Chondrosarcoma tends to grow slowly, so it might not cause signs and symptoms at first. When they occur, signs and symptoms of chondrosarcoma may include:; Increasing pain; A growing lump or area of swelling; Weakness or bowel and bladder control problems, if the cancer presses on the spinal cord"
Chordoma,https://www.mayoclinic.org/diseases-conditions/chordoma/symptoms-causes/syc-20580258,"Signs and symptoms of chordoma may include:; Headache.; Neck pain.; Vision trouble, including blurred or double vision or vision loss.; Trouble with balance.; Hearing loss.; Facial paralysis.; Muscle weakness.; Trouble swallowing.; Shortness of breath."
Choroid plexus carcinoma,https://www.mayoclinic.org/diseases-conditions/choroid-plexus-carcinoma/symptoms-causes/syc-20578760,Choroid plexus carcinoma symptoms include:; Blurred or double vision.; Headaches.; Increased tiredness.; Irritability.; Nausea.; Seizures.; Vomiting.
Chronic cough,https://www.mayoclinic.org/diseases-conditions/chronic-cough/symptoms-causes/syc-20351575,"A chronic cough can occur with other symptoms, including:; A runny or stuffy nose.; A feeling of liquid running down the back of your throat, also known as postnasal drip.; Clearing your throat a lot.; Sore throat.; Hoarseness.; Wheezing and shortness of breath.; Heartburn or a sour taste in your mouth.; In rare cases, coughing up blood."
Chronic daily headaches,https://www.mayoclinic.org/diseases-conditions/chronic-daily-headaches/symptoms-causes/syc-20370891,"By definition, chronic daily headaches occur 15 days or more a month, for longer than three months. True (primary) chronic daily headaches aren't caused by another condition.; There are short-lasting and long-lasting chronic daily headaches. Long-lasting headaches last more than four hours. They include:; Chronic migraine; Chronic tension-type headache; New daily persistent headache; Hemicrania continua"
Chronic exertional compartment syndrome,https://www.mayoclinic.org/diseases-conditions/chronic-exertional-compartment-syndrome/symptoms-causes/syc-20350830,"Your limbs have specific areas of muscle (compartments). Your lower leg, for example, has four compartments. Chronic exertional compartment syndrome often occurs in the same compartment of an affected limb on both sides of the body, usually the lower leg.; Signs and symptoms can include:; Aching, burning or cramping pain in a compartment of the affected limb; Tightness in the affected limb; Numbness or tingling in the affected limb; Weakness of the affected limb; Foot drop, in severe cases, if legs are affected; Occasionally, swelling or bulging as a result of a muscle hernia; Pain caused by chronic exertional compartment syndrome typically follows this pattern:; Begins consistently after a certain time, distance or intensity of exertion after you start exercising the affected limb; Progressively worsens as you exercise; Becomes less intense or stops completely within 15 minutes of stopping the activity; Over time, recovery time after exercise may increase; Taking a complete break from exercise or performing only low-impact activity might relieve your symptoms, but relief is usually only temporary. Once you take up running again, for instance, those familiar symptoms usually come back."
Chronic granulomatous disease,https://www.mayoclinic.org/diseases-conditions/chronic-granulomatous-disease/symptoms-causes/syc-20355817,"People with chronic granulomatous disease get a serious bacterial or fungal infection every few years. An infection in the lungs, including pneumonia, is common. People with CGD may develop a serious type of fungal pneumonia after being exposed to dead leaves, mulch or hay.; It's also common for people with CGD to experience infections of the skin, liver, stomach and intestines, brain, and eyes. Symptoms that may happen with infections include:; Fever.; Chest pain when inhaling or exhaling.; Swollen and sore lymph glands.; An ongoing runny nose.; Skin irritation that may include a rash, swelling or redness.; Swelling and redness in the mouth.; Trouble swallowing.; Gastrointestinal problems that may include:; Vomiting.; Diarrhea.; Stomach pain.; Bloody stool.; A painful pocket of pus near the anus, called an abscess."
Chronic hives,https://www.mayoclinic.org/diseases-conditions/chronic-hives/symptoms-causes/syc-20352719,"Symptoms of chronic hives include:; Batches of welts, called weals, that can arise anywhere on the body.; Welts that might be red, purple or skin-colored, depending on your skin color.; Welts that vary in size, change shape, and appear and fade repeatedly.; Itchiness, also called pruritus, which can be intense.; Painful swelling, called angioedema, around the eyes, cheeks or lips.; Flares triggered by heat, exercise or stress.; Symptoms that persist for more than six weeks and recur often and anytime, sometimes for months or years."
Chronic kidney disease,https://www.mayoclinic.org/diseases-conditions/chronic-kidney-disease/symptoms-causes/syc-20354521,"Signs and symptoms of chronic kidney disease develop over time if kidney damage progresses slowly. Loss of kidney function can cause a buildup of fluid or body waste or electrolyte problems. Depending on how severe it is, loss of kidney function can cause:; Nausea; Vomiting; Loss of appetite; Fatigue and weakness; Sleep problems; Urinating more or less; Decreased mental sharpness; Muscle cramps; Swelling of feet and ankles; Dry, itchy skin; High blood pressure (hypertension) that's difficult to control; Shortness of breath, if fluid builds up in the lungs; Chest pain, if fluid builds up around the lining of the heart; Signs and symptoms of kidney disease are often nonspecific. This means they can also be caused by other illnesses. Because your kidneys are able to make up for lost function, you might not develop signs and symptoms until irreversible damage has occurred."
Chronic lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/chronic-lymphocytic-leukemia/symptoms-causes/syc-20352428,"Many people with chronic lymphocytic leukemia have no symptoms at first. Signs and symptoms might develop as the cancer progresses. They might include:; Enlarged, but painless, lymph nodes; Fatigue; Fever; Pain in the upper left portion of the abdomen, which may be caused by an enlarged spleen; Night sweats; Weight loss; Frequent infections"
Chronic myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/chronic-myelogenous-leukemia/symptoms-causes/syc-20352417,"Chronic myelogenous leukemia often doesn't cause symptoms. It might be detected during a blood test.; When they occur, symptoms may include:; Bone pain.; Bleeding easily.; Feeling full after eating a small amount of food.; Fatigue.; Fever.; Weight loss without trying.; Loss of appetite.; Pain or fullness below the ribs on the left side.; Excessive sweating during sleep.; Blurry vision caused by bleeding in the back of the eye."
Chronic pelvic pain,https://www.mayoclinic.org/diseases-conditions/chronic-pelvic-pain/symptoms-causes/syc-20354368,"You may feel chronic pelvic pain in different parts of your pelvic area, rather than in just one spot. You might describe the pain in one or more of the following ways:; Serious and steady.; Pain that comes and goes.; Dull aching.; Sharp pains or cramping.; Pressure or heaviness deep within the pelvis.; The pain also may happen:; During sex.; While having a bowel movement or urinating.; When you sit or stand for a long time.; Chronic pelvic pain may be mild. Or it may be so intense that you miss work and can't sleep or exercise.; Other symptoms can include:; An urgent or frequent need to urinate.; Bloating.; Upset stomach.; Constipation or diarrhea."
Chronic sinusitis,https://www.mayoclinic.org/diseases-conditions/chronic-sinusitis/symptoms-causes/syc-20351661,"Common symptoms of chronic sinusitis include:; Thick, discolored mucus from the nose, known as a runny nose.; Mucus down the back of the throat, known as postnasal drip.; Blocked or stuffy nose, known as congestion. This makes it hard to breathe through the nose.; Pain, tenderness and swelling around the eyes, cheeks, nose or forehead.; Reduced sense of smell and taste.; Other symptoms can include:; Ear pain.; Headache.; Aching in the teeth.; Cough.; Sore throat.; Bad breath.; Tiredness.; Chronic sinusitis and acute sinusitis have similar symptoms. But acute sinusitis is a short-lived infection of the sinuses often linked to a cold.; The symptoms of chronic sinusitis last at least 12 weeks. There might be many bouts of acute sinusitis before it becomes chronic sinusitis. Fever isn't common with chronic sinusitis. But fever might be part of acute sinusitis."
Chronic traumatic encephalopathy,https://www.mayoclinic.org/diseases-conditions/chronic-traumatic-encephalopathy/symptoms-causes/syc-20370921,"There are no specific symptoms that have been clearly linked to chronic traumatic encephalopathy, also known as CTE. Some of the possible symptoms can occur in many other conditions. In people who were confirmed to have CTE at autopsy, symptoms have included cognitive, behavioral, mood and movement changes."
Churg-Strauss syndrome,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760,"Churg-Strauss syndrome varies greatly from person to person. Some people have only mild symptoms. Others have severe or life-threatening complications.; Also known as EGPA, the syndrome tends to occur in three stages and gets progressively worse. Almost everyone with the condition has asthma, chronic sinusitis and elevated counts of white blood cells called eosinophils.; Other signs and symptoms might include:; Loss of appetite and weight loss; Joint and muscle pain; Abdominal pain and gastrointestinal bleeding; Weakness, fatigue or a general feeling of being unwell; Rash or skin sores; Pain, numbness, and tingling in your hands and feet"
Cirrhosis,https://www.mayoclinic.org/diseases-conditions/cirrhosis/symptoms-causes/syc-20351487,"Cirrhosis often has no symptoms until liver damage is serious. When symptoms do happen, they may include:; Extreme tiredness.; Easily bleeding or bruising.; Loss of appetite.; Nausea.; Swelling in the legs, feet or ankles, called edema.; Weight loss.; Itchy skin.; Yellow discoloration in the skin and eyes, called jaundice.; Fluid buildup in the belly, called ascites (uh-SAHY-teez).; Spiderlike blood vessels on the skin.; Redness in the palms of the hands.; Pale fingernails, especially the thumb and index finger.; Clubbing of the fingers, in which the fingertips spread out and become rounder than usual.; For women, absence of or loss of periods not related to menopause.; For men, loss of sex drive, testicular shrinkage or breast enlargement, known as gynecomastia.; Confusion, drowsiness or slurred speech."
Claudication,https://www.mayoclinic.org/diseases-conditions/claudication/symptoms-causes/syc-20370952,"Claudication refers to muscle pain due to lack of oxygen that's triggered by activity and relieved by rest. Symptoms include the following:; Pain, ache, discomfort or fatigue in muscles every time those muscles are used; Pain in the calves, thighs, buttocks, hips or feet; Less often, pain in shoulders, biceps and forearms; Pain that gets better soon after resting; The pain may become more severe over time. You may even start to have pain at rest.; Signs or symptoms of peripheral artery disease, usually in more-advanced stages, include:; Cool skin; Severe, constant pain that progresses to numbness; Skin discoloration; Wounds that don't heal"
Cleft lip and cleft palate,https://www.mayoclinic.org/diseases-conditions/cleft-palate/symptoms-causes/syc-20370985,"Usually, a split (cleft) in the lip or roof of the mouth (palate) can be seen right away at birth. It may be found before birth during a prenatal ultrasound. Cleft lip and cleft palate may look like:; A split in the lip and palate that affects one or both sides of the face.; A split in the lip that appears as only a small notch in the lip or extends from the lip through the upper gum and palate into the bottom of the nose.; A split in the roof of the mouth that doesn't affect how the face looks.; Less often, a cleft occurs only in the muscles of the soft palate, which are at the back of the mouth and covered by the mouth's lining. This is called a submucous cleft palate. This type of cleft may not be seen at birth and may not be diagnosed until later when signs arise, such as:; Having a hard time feeding.; Nasal speaking voice.; Constant ear infections.; Rarely, having a hard time swallowing. Liquids or foods may come out of the nose."
Clubfoot,https://www.mayoclinic.org/diseases-conditions/clubfoot/symptoms-causes/syc-20350860,"If your child has clubfoot, here's what it might look like:; The top of the foot is usually pointed in and down. This raises the arch and turns the heel inward.; The foot may be turned so severely that it looks like it is upside down.; The foot or big toe may be slightly shorter than the other foot.; The calf muscles in the leg with clubfoot are usually smaller.; At birth, clubfoot doesn't cause any discomfort or pain."
Cluster headache,https://www.mayoclinic.org/diseases-conditions/cluster-headache/symptoms-causes/syc-20352080,
Coarctation of the aorta,https://www.mayoclinic.org/diseases-conditions/coarctation-of-the-aorta/symptoms-causes/syc-20352529,"Symptoms of coarctation of the aorta depend on how much of the aorta is narrowed. Most people don't have symptoms.; Adults and older children with mild coarctation of the aorta may not have symptoms and their hearts may seem healthy.; If a baby is born with an extreme narrowing of the aorta, symptoms may be noticed shortly after birth. Symptoms of coarctation of the aorta in infants include:; Difficulty breathing.; Difficulty feeding.; Heavy sweating.; Irritability.; Changes in skin color.; Symptoms of coarctation of the aorta later in life may include:; Chest pain.; High blood pressure.; Headaches.; Muscle weakness.; Leg cramps.; Cold feet.; Nosebleeds.; Coarctation of the aorta often occurs with other heart conditions present at birth. Other symptoms depend on the specific types of congenital heart defects."
Cold sore,https://www.mayoclinic.org/diseases-conditions/cold-sore/symptoms-causes/syc-20371017,"A cold sore usually passes through several stages:; Tingling and itching. Many people feel itching, burning or tingling around the lips for a day or so before a small, hard, painful spot appears and blisters form.; Blisters. Small fluid-filled blisters often form along the border of the lips. Sometimes they appear around the nose or cheeks or inside the mouth.; Oozing and crusting. The small blisters may merge and then burst. This can leave shallow open sores that ooze and crust over.; Symptoms vary, depending on whether this is your first outbreak or a recurrence. The first time you have a cold sore, symptoms may not start for up to 20 days after you were first exposed to the virus. The sores can last several days. And the blisters can take 2 to 3 weeks to heal completely. If blisters return, they'll often appear at the same spot each time and tend to be less severe than the first outbreak.; In a first-time outbreak, you also might experience:; Fever.; Painful gums.; Sore throat.; Headache.; Muscle aches.; Swollen lymph nodes.; Children under 5 years old may have cold sores inside their mouths. These sores are often mistaken for canker sores. Canker sores involve only the mucous membrane and aren't caused by the herpes simplex virus."
Cold urticaria,https://www.mayoclinic.org/diseases-conditions/cold-urticaria/symptoms-causes/syc-20371046,"Cold urticaria symptoms may include:; Temporary itchy welts, also called hives, on the area of skin exposed to cold.; A response that worsens as the skin warms.; Swelling of the hands while holding cold objects.; Swelling of the lips from eating cold food or drinking cold beverages.; Serious responses may include:; A whole-body reaction, also known as anaphylaxis. This can cause fainting, a racing heart, swelling of limbs or trunk, and shock.; Swelling of the tongue and throat. This can make it hard to breathe.; Cold urticaria symptoms begin soon after the skin is exposed to a sudden drop in air temperature or cold water. Damp and windy conditions may cause symptoms to flare up. Each bout of symptoms may last for about two hours.; The worst reactions generally occur when all of the skin is exposed to cold, such as when swimming in cold water. These reactions could lead to fainting and drowning."
Colic,https://www.mayoclinic.org/diseases-conditions/colic/symptoms-causes/syc-20371074,"Babies have been known to fuss and cry, especially during the first three months of life. The range for what's considered typical crying is difficult to pin down. In general, colic is defined as crying for three or more hours a day, three or more days a week, for three or more weeks.; Features of colic may include the following:; Intense crying that may seem more like screaming or an expression of pain; Crying for no apparent reason, unlike crying to express hunger or the need for a diaper change; Extreme fussiness even after crying has diminished; Predictable timing, with episodes often occurring in the evening; Facial discoloring, such as skin flushing or blushing; Body tension, such as pulled up or stiffened legs, stiffened arms, clenched fists, arched back, or tense abdomen; Sometimes there is relief in symptoms after the infant passes gas or has a bowel movement. Gas is likely the result of swallowed air during prolonged crying."
Colon cancer,https://www.mayoclinic.org/diseases-conditions/colon-cancer/symptoms-causes/syc-20353669,"Many people with colon cancer don't have symptoms at first. When symptoms appear, they'll likely depend on the cancer's size and where it is in the large intestine.; Symptoms of colon cancer can include:; A change in bowel habits, such as more frequent diarrhea or constipation.; Rectal bleeding or blood in the stool.; Ongoing discomfort in the belly area, such as cramps, gas or pain.; A feeling that the bowel doesn't empty all the way during a bowel movement.; Weakness or tiredness.; Losing weight without trying."
Colon polyps,https://www.mayoclinic.org/diseases-conditions/colon-polyps/symptoms-causes/syc-20352875,"Most people with colon polyps do not have any symptoms. Colon polyps are often found as a part of routine colorectal cancer screening.; Symptoms that should prompt an appointment with a healthcare professional include:; Change in bowel habits. Constipation or diarrhea that lasts longer than a week may mean the presence of a larger colon polyp or cancer. However, several other conditions also can cause changes in bowel habits.; Change in stool color. Blood can show up as red streaks in the stool or make stool appear black. A change in color also may be caused by certain foods, medicines or dietary supplements.; Iron deficiency anemia. Bleeding from polyps can happen slowly over time, without visible blood in the stool. Chronic bleeding may lead to iron deficiency anemia, which can cause tiredness and shortness of breath.; Pain. A large colon polyp or cancer can block part of the bowel, leading to cramping and belly pain.; Rectal bleeding. This can be a sign of colon polyps or cancer or other conditions, such as hemorrhoids or minor tears of the anus."
Color blindness,https://www.mayoclinic.org/diseases-conditions/color-blindness/symptoms-causes/syc-20354988,"You may have a color vision deficiency and not know it. Some people figure out that they or their child has the condition when it causes confusion — such as when there are problems differentiating the colors in a traffic light or interpreting color-coded learning materials.; People affected by color blindness may not be able to distinguish:; Different shades of red and green.; Different shades of blue and yellow.; Any colors.; The most common color deficiency is an inability to see some shades of red and green. Often, a person who is red-green or blue-yellow deficient isn't completely insensitive to both colors. Defects can be mild, moderate or severe."
Coma,https://www.mayoclinic.org/diseases-conditions/coma/symptoms-causes/syc-20371099,"The symptoms of a coma commonly include:; Closed eyes.; Depressed brainstem reflexes, such as pupils not responding to light.; No responses of limbs except for reflex movements.; No response to painful stimuli except for reflex movements.; Irregular breathing."
Common cold,https://www.mayoclinic.org/diseases-conditions/common-cold/symptoms-causes/syc-20351605,"Most often, common cold symptoms start 1 to 3 days after someone is exposed to a cold virus. Symptoms vary. They can include:; Runny or stuffy nose.; Sore or scratchy throat.; Cough.; Sneezing.; Generally feeling unwell.; Slight body aches or a mild headache.; Low-grade fever.; The mucus from your nose may start out clear and become thicker and yellow or green. This change is normal. Most often, it doesn't mean that you have a bacterial illness."
Common cold in babies,https://www.mayoclinic.org/diseases-conditions/common-cold-in-babies/symptoms-causes/syc-20351651,The first symptoms of the common cold in a baby are often:; A stuffy or runny nose.; Mucus coming from the nose. It might be clear at first but then might thicken and turn yellow or green.; Other symptoms of a common cold in a baby may include:; Fever.; Sneezing.; Coughing.; Not wanting to eat.; Fussiness.; Trouble sleeping.; Trouble nursing or taking a bottle due to the stuffy nose.
Common variable immunodeficiency,https://www.mayoclinic.org/diseases-conditions/common-variable-immunodeficiency/symptoms-causes/syc-20355821,"How bad symptoms are varies greatly between people with CVID . Symptoms of common variable immunodeficiency may appear during childhood or the teen years. But many people don't get symptoms until they're adults.; If you have CVID , you'll likely have repeated infections before being diagnosed. The most common types of infections include pneumonia, sinusitis, ear infections and gastrointestinal infections."
Common warts,https://www.mayoclinic.org/diseases-conditions/common-warts/symptoms-causes/syc-20371125,"Common warts symptoms include:; Small, fleshy, grainy bumps on the fingers or hands.; Feeling rough to the touch.; A sprinkling of black dots, which are clotted blood vessels."
Complex regional pain syndrome,https://www.mayoclinic.org/diseases-conditions/crps-complex-regional-pain-syndrome/symptoms-causes/syc-20371151,"Signs and symptoms of complex regional pain syndrome (CRPS) include:; Continuous burning or throbbing pain, usually in the arm, leg, hand or foot; Sensitivity to touch or cold; Swelling of the painful area; Changes in skin temperature — alternating between sweaty and cold; Changes in skin color, ranging from white and blotchy to red or blue; Changes in skin texture, which may become tender, thin or shiny in the affected area; Changes in hair and nail growth; Joint stiffness, swelling and damage; Muscle spasms, tremors and weakness (atrophy); Decreased ability to move the affected body part; Symptoms may change over time and vary from person to person. Pain, swelling, redness, noticeable changes in temperature and hypersensitivity (particularly to cold and touch) usually occur first.; Over time, the affected limb can become cold and pale. It may undergo skin and nail changes as well as muscle spasms and tightening. Once these changes occur, the condition is often irreversible.; CRPS occasionally may spread from its source to elsewhere in the body, such as the opposite limb.; In some people, signs and symptoms of CRPS go away on their own. In others, signs and symptoms may persist for months to years. Treatment is likely to be most effective when started early in the course of the illness."
Complicated grief,https://www.mayoclinic.org/diseases-conditions/complicated-grief/symptoms-causes/syc-20360374,"During the first few months after a loss, many signs and symptoms of normal grief are the same as those of complicated grief. However, while normal grief symptoms gradually start to fade over time, those of complicated grief linger or get worse. Complicated grief is like being in an ongoing, heightened state of mourning that keeps you from healing.; Signs and symptoms of complicated grief may include:; Intense sorrow, pain and rumination over the loss of your loved one; Focus on little else but your loved one's death; Extreme focus on reminders of the loved one or excessive avoidance of reminders; Intense and persistent longing or pining for the deceased; Problems accepting the death; Numbness or detachment; Bitterness about your loss; Feeling that life holds no meaning or purpose; Lack of trust in others; Inability to enjoy life or think back on positive experiences with your loved one; Complicated grief also may be indicated if you continue to:; Have trouble carrying out normal routines; Isolate from others and withdraw from social activities; Experience depression, deep sadness, guilt or self-blame; Believe that you did something wrong or could have prevented the death; Feel life isn't worth living without your loved one; Wish you had died along with your loved one"
Compulsive gambling,https://www.mayoclinic.org/diseases-conditions/compulsive-gambling/symptoms-causes/syc-20355178,"Signs and symptoms of compulsive gambling (gambling disorder) can include:; Being preoccupied with gambling, such as constantly planning gambling activities and how to get more gambling money; Needing to gamble with increasing amounts of money to get the same thrill; Trying to control, cut back or stop gambling, without success; Feeling restless or irritable when you try to cut down on gambling; Gambling to escape problems or relieve feelings of helplessness, guilt, anxiety or depression; Trying to get back lost money by gambling more (chasing losses); Lying to family members or others to hide the extent of your gambling; Risking or losing important relationships, a job, or school or work opportunities because of gambling; Asking others to bail you out of financial trouble because you gambled money away; Most casual gamblers stop when losing or set a limit on how much they're willing to lose. But people with a compulsive gambling problem are compelled to keep playing to recover their money — a pattern that becomes increasingly destructive over time. Some people may turn to theft or fraud to get gambling money.; Some people with a compulsive gambling problem may have periods of remission — a length of time where they gamble less or not at all. But without treatment, the remission usually isn't permanent."
Compulsive sexual behavior,https://www.mayoclinic.org/diseases-conditions/compulsive-sexual-behavior/symptoms-causes/syc-20360434,"Some signs that you may have compulsive sexual behavior include:; You have repeated and intense sexual fantasies, urges, and behaviors that take up a lot of your time and feel as if they're beyond your control.; You feel driven or have frequent urges to do certain sexual behaviors, feel a release of the tension afterward, but also feel guilt or deep regret.; You've tried without success to reduce or control your sexual fantasies, urges or behavior.; You use compulsive sexual behavior as an escape from other problems, such as loneliness, depression, anxiety or stress.; You continue to engage in sexual behaviors in spite of them causing serious problems. These could include the possibility of getting or giving someone else a sexually transmitted infection, the loss of important relationships, trouble at work, financial issues, or legal problems.; You have trouble making and keeping healthy and stable relationships."
Concussion,https://www.mayoclinic.org/diseases-conditions/concussion/symptoms-causes/syc-20355594,"The symptoms of a concussion can be subtle and may not occur right away. Symptoms can last for days, weeks or even longer.; Common symptoms after a mild traumatic brain injury are headache, confusion and loss of memory, known as amnesia. The amnesia usually involves forgetting the event that caused the concussion.; Physical symptoms of a concussion may include:; Headache.; Ringing in the ears.; Nausea.; Vomiting.; Fatigue or drowsiness.; Blurry vision.; Other symptoms of a concussion include:; Confusion or feeling as if in a fog.; Amnesia surrounding the event.; Dizziness or ""seeing stars.""; A witness may observe these symptoms in the person with a concussion:; Temporary loss of consciousness, though this doesn't always occur.; Slurred speech.; Delayed response to questions.; Dazed appearance.; Forgetfulness, such as asking the same question over and over.; Some symptoms of a concussion occur right away. But sometimes symptoms may not occur for days after the injury, such as:; Trouble with concentration and memory.; Irritability and other personality changes.; Sensitivity to light and noise.; Trouble with sleep.; Feeling emotional or depressed.; Changes in taste and smell."
Congenital adrenal hyperplasia,https://www.mayoclinic.org/diseases-conditions/congenital-adrenal-hyperplasia/symptoms-causes/syc-20355205,"Symptoms of CAH vary. The symptoms depend on which gene is affected. They also depend on how greatly the adrenal glands lack one of the enzymes needed to make hormones. With CAH , the hormones that the body needs to work properly are thrown out of balance. That may lead to too little cortisol, too little aldosterone, too many androgens or a mix of these issues."
Congenital diaphragmatic hernia (CDH),https://www.mayoclinic.org/diseases-conditions/congenital-diaphragmatic-hernia/symptoms-causes/syc-20544249,"Congenital diaphragmatic hernia ranges in severity. It may be mild and have few or no effects on the baby, or it can be more serious and affect the ability to bring oxygen to the rest of the body.; Babies born with CDH may have:; Severe trouble breathing due to small lungs that don't work well (pulmonary hypoplasia).; A type of high blood pressure that affects the arteries in the lungs and the right side of the heart (pulmonary hypertension).; Problems with development of the heart.; Damage to the intestines, stomach, liver and other abdominal organs if they move through the hernia into the chest."
Congenital heart defects in children,https://www.mayoclinic.org/diseases-conditions/congenital-heart-defects-children/symptoms-causes/syc-20350074,"Serious congenital heart defects usually are found soon after birth or during the first few months of life. Symptoms could include:; Pale gray or blue lips, tongue, or fingernails. Depending on the skin color, these changes may be harder or easier to see.; Rapid breathing.; Swelling in the legs, belly or areas around the eyes.; Shortness of breath during feedings, leading to poor weight gain.; Less-serious congenital heart defects may not be found until later in childhood. Symptoms of congenital heart defects in older children may include:; Easily getting short of breath during exercise or activity.; Getting tired very easily during exercise or activity.; Fainting during exercise or activity.; Swelling in the hands, ankles or feet."
Congenital heart disease in adults,https://www.mayoclinic.org/diseases-conditions/adult-congenital-heart-disease/symptoms-causes/syc-20355456,"Some people born with a heart problem don't notice symptoms until later in life. Symptoms also may return years after a congenital heart defect is treated.; Common congenital heart disease symptoms in adults include:; Irregular heartbeats, called arrhythmias.; Blue or gray skin, lips and fingernails due to low oxygen levels. Depending on the skin color, these changes may be harder or easier to see.; Shortness of breath.; Feeling tired very quickly with activity.; Swelling due to fluid collecting inside body tissues, called edema."
Congenital myasthenic syndromes,https://www.mayoclinic.org/diseases-conditions/congenital-myasthenic-syndrome/symptoms-causes/syc-20354754,"Congenital myasthenic syndromes are typically identified at birth. But if signs and symptoms are mild, the condition may not be identified until childhood, or rarely, early adulthood.; Depending on the type of congenital myasthenic syndrome, the severity of signs and symptoms vary greatly, from minor weakness to the inability to move. Some symptoms can be life-threatening.; Common to all congenital myasthenic syndromes is muscle weakness that worsens with physical activity. Any muscles used for movement can be affected, but the most commonly affected muscles are those that control movement of the eyelids and eyes and chewing and swallowing.; During infancy and early childhood, progressive loss of essential voluntary muscle activity occurs with muscle use. Impaired muscle weakness can result in:; Droopy eyelids and poor eye control, often with double vision.; Difficulty chewing and swallowing.; Weakness of facial muscles.; Weak cry.; Slurring or nasal speech.; Delayed crawling and walking.; Delayed development of wrist, hand and finger skills, such as brushing teeth or combing hair.; Trouble supporting the head in an upright position.; Problems breathing, such as feeling short of breath and having short pauses in breathing, sometimes worsened by infection, fever or stress.; Depending on the type of congenital myasthenic syndrome, other signs and symptoms can include:; Skeletal deformities, such as joint, spine or foot deformities.; Unusual facial features, such as narrow jaw or wide-set eyes.; Hearing loss.; Weakness, numbness and pain, usually in hands and feet.; Seizures.; Kidney problems.; Cognitive impairment, rarely."
Conjoined twins,https://www.mayoclinic.org/diseases-conditions/conjoined-twins/symptoms-causes/syc-20353910,"There are no specific symptoms that indicate a conjoined twin pregnancy. As with other twin pregnancies, the uterus may grow faster than it does with a single baby. And there may be more tiredness, nausea and vomiting early in the pregnancy. Conjoined twins can be diagnosed early in the pregnancy using an ultrasound."
Constipation,https://www.mayoclinic.org/diseases-conditions/constipation/symptoms-causes/syc-20354253,"Symptoms of constipation include:; Fewer than three stools a week.; Hard, dry or lumpy stools.; Straining or pain when passing stools.; A feeling that not all stool has passed.; A feeling that the rectum is blocked.; The need to use a finger to pass stool.; Chronic constipation is having two or more of these symptoms for three months or longer."
Constipation in children,https://www.mayoclinic.org/diseases-conditions/constipation-in-children/symptoms-causes/syc-20354242,"Signs and symptoms of constipation in children may include:; Less than three bowel movements a week; Bowel movements that are hard, dry and difficult to pass; Pain while having a bowel movement; Stomach pain; Traces of liquid or pasty stool in your child's underwear — a sign that stool is backed up in the rectum; Blood on the surface of hard stool; If your child fears that having a bowel movement will hurt, he or she may try to avoid it. You may notice your child crossing his or her legs, clenching his or her buttocks, twisting his or her body, or making faces when attempting to hold stool."
Contact dermatitis,https://www.mayoclinic.org/diseases-conditions/contact-dermatitis/symptoms-causes/syc-20352742,
COPD,https://www.mayoclinic.org/diseases-conditions/copd/symptoms-causes/syc-20353679,"COPD symptoms often don't appear until a lot of lung damage has occurred. Symptoms usually worsen over time, especially if smoking or other irritating exposure continues.; Symptoms of COPD may include:; Trouble catching your breath, especially during physical activities.; Wheezing or whistling sounds when breathing.; Ongoing cough that may bring up a lot of mucus. The mucus may be clear, white, yellow or greenish.; Chest tightness or heaviness.; Lack of energy or feeling very tired.; Frequent lung infections.; Losing weight without meaning to. This may happen as the condition worsens.; Swelling in ankles, feet or legs.; People with COPD also are likely to have times when their symptoms become worse than the usual day-to-day variation. This time of worsening symptoms is called an exacerbation (eg-zas-er-bay-shun). Exacerbations can last for several days to weeks. They can be caused by triggers such as smells, cold air, air pollution, colds or infections. Symptoms may include:; Working harder than usual to breathe or having trouble breathing.; Chest tightness.; Coughing more often.; More mucus or changes in mucus color or thickness.; Fever."
Corns and calluses,https://www.mayoclinic.org/diseases-conditions/corns-and-calluses/symptoms-causes/syc-20355946,
